(-1.62523,0.920785) (0,0); (-1.78496,0.641723) (0,0); (-1.96746,0.271187) (0,0); (-2.08748,-0.0177441) (0,0)
(-2.14319,-0.17069) (0,0); (-2.23327,-0.45853) (0,0); (-2.31945,-0.825715) (0,0); (-2.36149,-1.10073) (0,0)
(-2.37491,-1.24243) (0,0); (-2.3835,-1.50167) (0,0); (-2.36201,-1.81831) (0,0); (-2.32049,-2.04444) (0,0)
(-2.28978,-2.15703) (0,0); (-2.21553,-2.3553) (0,0); (-2.0886,-2.58247) (0,0); (-1.96826,-2.73243) (0,0)
(-1.89691,-2.80252) (0,0); (-1.74838,-2.91663) (0,0); (-1.53047,-3.02859) (0,0); (-1.34496,-3.08608) (0,0)
(-1.24099,-3.10633) (0,0); (-1.03476,-3.12495) (0,0); (-0.749823,-3.11178) (0,0); (-0.519279,-3.07298) (0,0)
(-0.393826,-3.04265) (0,0); (-0.151793,-2.96691) (0,0); (0.170478,-2.83468) (0,0); (0.422451,-2.70772) (0,0)
(0.556718,-2.63225) (0,0); (0.810447,-2.47453) (0,0); (1.1386,-2.24301) (0,0); (1.3879,-2.04584) (0,0)
(1.51834,-1.93553) (0,0); (1.76092,-1.7164) (0,0); (2.06679,-1.4142) (0,0); (2.29309,-1.17008) (0,0)
(2.40946,-1.03746) (0,0); (2.62118,-0.781973) (0,0); (2.88041,-0.442384) (0,0); (3.06606,-0.177322) (0,0)
(3.15951,-0.0361095) (0,0); (3.32533,0.230452) (0,0); (3.52072,0.575638) (0,0); (3.65441,0.838212) (0,0)
(3.71954,0.97608) (0,0); (3.83059,1.23215) (0,0); (3.95292,1.55715) (0,0); (4.02938,1.79927) (0,0)
(4.06399,1.92502) (0,0); (4.11732,2.15548) (0,0); (4.16484,2.44358) (0,0); (4.18435,2.65476) (0,0)
(4.18907,2.76364) (0,0); (4.18691,2.96121) (0,0); (4.1642,3.20597) (0,0); (4.13154,3.38361) (0,0)
(4.10931,3.47503) (0,0); (4.05791,3.64009) (0,0); (3.97429,3.8446) (0,0); (3.89752,3.99304) (0,0)
(3.85285,4.06984) (0,0); (3.76118,4.20896) (0,0); (3.62907,4.38343) (0,0); (3.51823,4.51177) (0,0)
(3.45656,4.57905) (0,0); (3.33515,4.70244) (0,0); (3.16855,4.86074) (0,0); (3.0346,4.97999) (0,0)
(2.9618,5.04355) (0,0); (2.82173,5.16217) (0,0); (2.63513,5.31794) (0,0); (2.48916,5.4381) (0,0)
(2.41112,5.5029) (0,0); (2.2634,5.62555) (0,0); (2.071,5.78872) (0,0); (1.9238,5.91618) (0,0)
(1.84619,5.98507) (0,0); (1.70137,6.11616) (0,0); (1.51669,6.29027) (0,0); (1.37841,6.42608) (0,0)
(1.30657,6.49896) (0,0); (1.17453,6.63711) (0,0); (1.01012,6.818) (0,0); (0.890139,6.95712) (0,0)
(0.828951,7.03067) (0,0); (0.718697,7.16846) (0,0); (0.58588,7.34423) (0,0); (0.49254,7.47589) (0,0)
