(-0.0243541,-0.0725947) (0,0); (-0.011772,-0.0769224) (0,0); (0.00494835,-0.0815605) (0,0); (0.0179968,-0.0843424) (0,0)
(0.0249243,-0.085496) (0,0); (0.0379844,-0.0870912) (0,0); (0.0547415,-0.087911) (0,0); (0.0673682,-0.0875724) (0,0)
(0.073914,-0.0870238) (0,0); (0.085957,-0.0853201) (0,0); (0.100835,-0.0817462) (0,0); (0.111598,-0.0779716) (0,0)
(0.117017,-0.0755993) (0,0); (0.126675,-0.070456) (0,0); (0.137994,-0.0624746) (0,0); (0.145687,-0.0553832) (0,0)
(0.149376,-0.0512946) (0,0); (0.155581,-0.0429989) (0,0); (0.162106,-0.0311347) (0,0); (0.165902,-0.0212439) (0,0)
(0.167468,-0.0157491) (0,0); (0.169572,-0.00495423) (0,0); (0.170635,0.00982934) (0,0); (0.170162,0.0216961) (0,0)
(0.169455,0.0281363) (0,0); (0.167268,0.0405176) (0,0); (0.16279,0.0569608) (0,0); (0.158114,0.0697851) (0,0)
(0.155215,0.0766079) (0,0); (0.14895,0.0895066) (0,0); (0.139373,0.106114) (0,0); (0.130958,0.118673) (0,0)
(0.12621,0.125145) (0,0); (0.116552,0.137354) (0,0); (0.102932,0.152801) (0,0); (0.091713,0.164271) (0,0)
(0.0855338,0.170161) (0,0); (0.0734759,0.18089) (0,0); (0.0571085,0.194033) (0,0); (0.0440768,0.203451) (0,0)
(0.0370315,0.208195) (0,0); (0.023551,0.216618) (0,0); (0.00571245,0.22656) (0,0); (-0.00815165,0.233375) (0,0)
(-0.015541,0.236702) (0,0); (-0.0294727,0.242388) (0,0); (-0.04756,0.24868) (0,0); (-0.0613541,0.252639) (0,0)
(-0.0686287,0.254443) (0,0); (-0.0821836,0.25725) (0,0); (-0.0995286,0.259815) (0,0); (-0.112562,0.260941) (0,0)
(-0.119382,0.261262) (0,0); (-0.131974,0.261316) (0,0); (-0.147919,0.260409) (0,0); (-0.159768,0.258966) (0,0)
(-0.165938,0.257963) (0,0); (-0.177254,0.255608) (0,0); (-0.191492,0.251742) (0,0); (-0.202,0.248171) (0,0)
(-0.20746,0.246093) (0,0); (-0.217436,0.241821) (0,0); (-0.229962,0.235676) (0,0); (-0.239185,0.230527) (0,0)
(-0.24398,0.227669) (0,0); (-0.252739,0.222053) (0,0); (-0.263755,0.214382) (0,0); (-0.271883,0.208238) (0,0)
(-0.276119,0.204912) (0,0); (-0.283874,0.198532) (0,0); (-0.293668,0.19008) (0,0); (-0.300926,0.183504) (0,0)
(-0.304718,0.180002) (0,0); (-0.311683,0.173399) (0,0); (-0.320502,0.164844) (0,0); (-0.327057,0.158335) (0,0)
(-0.33048,0.154913) (0,0); (-0.336773,0.148552) (0,0); (-0.344715,0.14047) (0,0); (-0.350595,0.134441) (0,0)
(-0.353644,0.131312) (0,0); (-0.359224,0.125573) (0,0); (-0.366156,0.118428) (0,0); (-0.371202,0.113213) (0,0)
(-0.373771,0.110547) (0,0); (-0.378396,0.105737) (0,0); (-0.383931,0.0999119) (0,0); (-0.38779,0.0957919) (0,0)
(-0.389678,0.0937384) (0,0); (-0.392933,0.0901324) (0,0); (-0.396504,0.0859834) (0,0); (-0.398724,0.0832295) (0,0)
(-0.399705,0.0819077) (0,0); (-0.401164,0.0797931) (0,0); (-0.402355,0.0775113) (0,0); (-0.402723,0.0761281) (0,0)
(-0.40276,0.0752466) (0,0); (-0.402115,0.0744292) (0,0); (-0.400006,0.0739789) (0,0); (-0.397417,0.074106) (0,0)
