(0.194883,0.0703136) (0,0); (0.192239,0.0776758) (0,0); (0.188683,0.0871893) (0,0); (0.185878,0.0944103) (0,0)
(0.184356,0.0982305) (0,0); (0.181448,0.10535) (0,0); (0.177561,0.11453) (0,0); (0.174508,0.121484) (0,0)
(0.172857,0.125158) (0,0); (0.169713,0.131995) (0,0); (0.165526,0.140792) (0,0); (0.162251,0.147441) (0,0)
(0.160485,0.150948) (0,0); (0.157127,0.157464) (0,0); (0.152669,0.165828) (0,0); (0.149194,0.172134) (0,0)
(0.147322,0.175454) (0,0); (0.143772,0.181612) (0,0); (0.139071,0.189494) (0,0); (0.135415,0.195419) (0,0)
(0.13345,0.198533) (0,0); (0.129728,0.204296) (0,0); (0.124811,0.21165) (0,0); (0.120996,0.217159) (0,0)
(0.118948,0.220048) (0,0); (0.115076,0.225382) (0,0); (0.109973,0.232165) (0,0); (0.106024,0.237229) (0,0)
(0.103906,0.239881) (0,0); (0.0999103,0.244759) (0,0); (0.0946535,0.250957) (0,0); (0.0905912,0.255579) (0,0)
(0.0884087,0.258024) (0,0); (0.0842953,0.262448) (0,0); (0.0788901,0.267983) (0,0); (0.0747178,0.272042) (0,0)
(0.0724857,0.274146) (0,0); (0.0682796,0.277975) (0,0); (0.062769,0.282742) (0,0); (0.0585281,0.286219) (0,0)
(0.0562661,0.288008) (0,0); (0.0520131,0.291247) (0,0); (0.0464649,0.295236) (0,0); (0.0422131,0.298111) (0,0)
(0.0399525,0.299578) (0,0); (0.0357149,0.302208) (0,0); (0.030215,0.305396) (0,0); (0.0260217,0.307653) (0,0)
(0.0238008,0.308789) (0,0); (0.0196529,0.310797) (0,0); (0.0143025,0.313171) (0,0); (0.010249,0.314803) (0,0)
(0.00811217,0.315607) (0,0); (0.00413936,0.316991) (0,0); (-0.000945972,0.318556) (0,0); (-0.00476844,0.319571) (0,0)
(-0.00677161,0.320048) (0,0); (-0.0104745,0.320822) (0,0); (-0.0151685,0.321603) (0,0); (-0.018661,0.322025) (0,0)
(-0.0204774,0.32219) (0,0); (-0.0238095,0.322386) (0,0); (-0.0279795,0.322429) (0,0); (-0.0310396,0.322299) (0,0)
(-0.0326147,0.322177) (0,0); (-0.0354736,0.321842) (0,0); (-0.0389868,0.321216) (0,0); (-0.0415134,0.320591) (0,0)
(-0.0427941,0.320212) (0,0); (-0.0450805,0.319408) (0,0); (-0.0478109,0.318198) (0,0); (-0.0497098,0.317146) (0,0)
(-0.0506469,0.316547) (0,0); (-0.052271,0.315346) (0,0); (-0.0541062,0.313646) (0,0); (-0.0552953,0.312241) (0,0)
(-0.055847,0.311462) (0,0); (-0.0567331,0.309937) (0,0); (-0.0575817,0.307843) (0,0); (-0.0579963,0.306157) (0,0)
(-0.0581304,0.305235) (0,0); (-0.058222,0.303456) (0,0); (-0.0580189,0.301052) (0,0); (-0.0576159,0.299148) (0,0)
(-0.0573119,0.298114) (0,0); (-0.0565753,0.296136) (0,0); (-0.0552859,0.293489) (0,0); (-0.054046,0.291409) (0,0)
(-0.0532963,0.290284) (0,0); (-0.0517221,0.288142) (0,0); (-0.0493432,0.285284) (0,0); (-0.047271,0.283045) (0,0)
(-0.0460782,0.28183) (0,0); (-0.0436804,0.279527) (0,0); (-0.0402256,0.276426) (0,0); (-0.0373274,0.273977) (0,0)
(-0.0356762,0.272609) (0,0); (-0.0324716,0.270112) (0,0); (-0.0280057,0.266841) (0,0); (-0.0243644,0.264325) (0,0)
(-0.0223448,0.262966) (0,0); (-0.01841,0.2604) (0,0); (-0.0130055,0.256992) (0,0); (-0.00865583,0.254334) (0,0)
(-0.00627074,0.252895) (0,0); (-0.00166232,0.250161) (0,0); (0.00458415,0.246508) (0,0); (0.00955092,0.243641) (0,0)
(0.0122535,0.242086) (0,0); (0.0174377,0.239119) (0,0); (0.024393,0.235138) (0,0); (0.0298706,0.232002) (0,0)
(0.0328335,0.230297) (0,0); (0.0384838,0.227038) (0,0); (0.0460035,0.222654) (0,0); (0.0518799,0.219194) (0,0)
(0.0550435,0.21731) (0,0); (0.0610482,0.213706) (0,0); (0.0689874,0.208855) (0,0); (0.0751529,0.205022) (0,0)
(0.0784596,0.202937) (0,0); (0.0847114,0.198945) (0,0); (0.0929347,0.193574) (0,0); (0.0992883,0.189334) (0,0)
(0.102686,0.187029) (0,0); (0.109089,0.182619) (0,0); (0.117478,0.176696) (0,0); (0.123933,0.172026) (0,0)
(-0.571573,1.02842) (0,0); (-0.61032,1.00713) (0,0); (-0.660069,0.979321) (0,0); (-0.697581,0.957989) (0,0)
(-0.71735,0.946635) (0,0); (-0.754033,0.925333) (0,0); (-0.801069,0.897627) (0,0); (-0.836487,0.876457) (0,0)
(-0.855133,0.86522) (0,0); (-0.889698,0.844196) (0,0); (-0.933943,0.816962) (0,0); (-0.967202,0.79624) (0,0)
(-0.984689,0.785271) (0,0); (-1.01706,0.764806) (0,0); (-1.05842,0.738409) (0,0); (-1.08945,0.718411) (0,0)
(-1.10573,0.707856) (0,0); (-1.13584,0.688222) (0,0); (-1.1742,0.663013) (0,0); (-1.20291,0.644004) (0,0)
(-1.21795,0.634002) (0,0); (-1.24571,0.615459) (0,0); (-1.28099,0.591768) (0,0); (-1.3073,0.573995) (0,0)
(-1.32107,0.564676) (0,0); (-1.34642,0.547462) (0,0); (-1.37855,0.525589) (0,0); (-1.40245,0.509275) (0,0)
(-1.41495,0.500751) (0,0); (-1.43788,0.485077) (0,0); (-1.46701,0.465257) (0,0); (-1.48872,0.450547) (0,0)
(-1.50028,0.442836) (0,0); (-1.52098,0.428731) (0,0); (-1.54673,0.410945) (0,0); (-1.5655,0.397786) (0,0)
(-1.57522,0.390938) (0,0); (-1.59286,0.378407) (0,0); (-1.61476,0.362697) (0,0); (-1.63069,0.351146) (0,0)
(-1.63887,0.345172) (0,0); (-1.65368,0.334294) (0,0); (-1.67188,0.320778) (0,0); (-1.68498,0.310937) (0,0)
(-1.69167,0.305881) (0,0); (-1.70364,0.296745) (0,0); (-1.71815,0.285526) (0,0); (-1.72842,0.277466) (0,0)
(-1.73359,0.273365) (0,0); (-1.74273,0.266032) (0,0); (-1.75353,0.257184) (0,0); (-1.76096,0.250953) (0,0)
(-1.76462,0.247831) (0,0); (-1.77091,0.242342) (0,0); (-1.778,0.23591) (0,0); (-1.78258,0.23154) (0,0)
(-1.78472,0.229411) (0,0); (-1.78817,0.225789) (0,0); (-1.79156,0.2218) (0,0); (-1.79331,0.219306) (0,0)
(-1.79394,0.218177) (0,0); (-1.79456,0.216434) (0,0); (-1.79428,0.214898) (0,0); (-1.79322,0.214285) (0,0)
(-1.79236,0.214158) (0,0); (-1.79019,0.214295) (0,0); (-1.78627,0.215208) (0,0); (-1.78244,0.216469) (0,0)
(-1.78011,0.21734) (0,0); (-1.77519,0.219347) (0,0); (-1.7677,0.222692) (0,0); (-1.76115,0.225812) (0,0)
(-1.75738,0.227669) (0,0); (-1.74976,0.231524) (0,0); (-1.73878,0.237267) (0,0); (-1.72957,0.242215) (0,0)
(-1.72439,0.245043) (0,0); (-1.71414,0.25071) (0,0); (-1.69976,0.258797) (0,0); (-1.68796,0.265527) (0,0)
(-1.6814,0.269298) (0,0); (-1.66859,0.276723) (0,0); (-1.65089,0.287077) (0,0); (-1.63658,0.295524) (0,0)
