(-0.0324888,-0.0370286) (0,0); (-0.0311029,-0.0382776) (0,0); (-0.0293008,-0.0399174) (0,0); (-0.0279243,-0.0411819) (0,0)
(-0.027192,-0.0418587) (0,0); (-0.0258208,-0.0431339) (0,0); (-0.0240356,-0.0448084) (0,0); (-0.0226704,-0.0461001) (0,0)
(-0.0219434,-0.0467914) (0,0); (-0.0205807,-0.0480942) (0,0); (-0.0188039,-0.0498049) (0,0); (-0.0174427,-0.0511244) (0,0)
(-0.016717,-0.0518305) (0,0); (-0.0153552,-0.0531609) (0,0); (-0.0135761,-0.0549071) (0,0); (-0.0122106,-0.0562534) (0,0)
(-0.0114816,-0.0569735) (0,0); (-0.010112,-0.0583298) (0,0); (-0.00831905,-0.0601083) (0,0); (-0.00694041,-0.0614783) (0,0)
(-0.00620353,-0.0622104) (0,0); (-0.00481724,-0.0635885) (0,0); (-0.00299966,-0.0653932) (0,0); (-0.0015998,-0.0667813) (0,0)
(-0.000851004,-0.0675223) (0,0); (0.000559122,-0.0689157) (0,0); (0.00240942,-0.0707369) (0,0); (0.0038356,-0.0721353) (0,0)
(0.00459784,-0.0728808) (0,0); (0.00603528,-0.0742805) (0,0); (0.00791607,-0.0761071) (0,0); (0.00936167,-0.0775075) (0,0)
(0.0101254,-0.078256) (0,0); (0.011588,-0.0796572) (0,0); (0.0135194,-0.0814801) (0,0); (0.0150175,-0.0828732) (0,0)
(0.0158195,-0.0836136) (0,0); (0.0173346,-0.0849994) (0,0); (0.0193263,-0.0867969) (0,0); (0.0208642,-0.0881665) (0,0)
(0.0216868,-0.0888921) (0,0); (0.0232372,-0.0902472) (0,0); (0.025269,-0.0919973) (0,0); (0.0268331,-0.093325) (0,0)
(0.0276677,-0.0940262) (0,0); (0.0292372,-0.0953317) (0,0); (0.0312856,-0.0970095) (0,0); (0.032856,-0.0982759) (0,0)
(0.033691,-0.0989424) (0,0); (0.0352567,-0.100179) (0,0); (0.0372883,-0.101759) (0,0); (0.038837,-0.102944) (0,0)
(0.0396567,-0.103566) (0,0); (0.0411871,-0.104714) (0,0); (0.0431578,-0.106172) (0,0); (0.0446483,-0.107258) (0,0)
(0.0454323,-0.107825) (0,0); (0.0468877,-0.108868) (0,0); (0.0487426,-0.110182) (0,0); (0.0501305,-0.111153) (0,0)
(0.0508545,-0.111658) (0,0); (0.0521876,-0.112579) (0,0); (0.0538625,-0.113731) (0,0); (0.0550969,-0.114575) (0,0)
(0.0557333,-0.11501) (0,0); (0.0568911,-0.1158) (0,0); (0.0583156,-0.116777) (0,0); (0.0593413,-0.117484) (0,0)
(0.0598604,-0.117845) (0,0); (0.0607869,-0.118496) (0,0); (0.0618877,-0.119289) (0,0); (0.0626485,-0.119854) (0,0)
(0.0630206,-0.12014) (0,0); (0.0636602,-0.120647) (0,0); (0.064366,-0.121253) (0,0); (0.0648083,-0.121674) (0,0)
(0.0650055,-0.121883) (0,0); (0.0653068,-0.122248) (0,0); (0.0655534,-0.122667) (0,0); (0.0656303,-0.122946) (0,0)
(0.0656287,-0.12308) (0,0); (0.0655485,-0.123302) (0,0); (0.0652841,-0.123538) (0,0); (0.0649591,-0.123678) (0,0)
(0.0647408,-0.123738) (0,0); (0.0642479,-0.123822) (0,0); (0.0634376,-0.12388) (0,0); (0.0626884,-0.123883) (0,0)
(0.0622432,-0.12387) (0,0); (0.0613217,-0.12382) (0,0); (0.0599517,-0.123702) (0,0); (0.058773,-0.123572) (0,0)
(0.0581011,-0.123488) (0,0); (0.0567531,-0.123304) (0,0); (0.0548395,-0.123008) (0,0); (0.0532543,-0.122737) (0,0)
(0.0523817,-0.122569) (0,0); (0.0506321,-0.122247) (0,0); (0.0481782,-0.121781) (0,0); (0.0461662,-0.121389) (0,0)
(0.0450534,-0.121166) (0,0); (0.042882,-0.120721) (0,0); (0.0399016,-0.12009) (0,0); (0.0375044,-0.119566) (0,0)
(0.0361905,-0.119273) (0,0); (0.033653,-0.118695) (0,0); (0.0302149,-0.117889) (0,0); (0.0274822,-0.117231) (0,0)
(0.0259951,-0.116866) (0,0); (0.0231431,-0.116153) (0,0); (0.0193154,-0.11517) (0,0); (0.0163001,-0.114375) (0,0)
(0.0146682,-0.113937) (0,0); (0.011555,-0.113087) (0,0); (0.00740726,-0.111924) (0,0); (0.00416243,-0.11099) (0,0)
(0.00241359,-0.110478) (0,0); (-0.00090862,-0.109489) (0,0); (-0.00530996,-0.108142) (0,0); (-0.00873453,-0.107068) (0,0)
(-0.0105744,-0.10648) (0,0); (-0.0140581,-0.105347) (0,0); (-0.0186538,-0.103813) (0,0); (-0.0222148,-0.102592) (0,0)
(-0.0241236,-0.101926) (0,0); (-0.0277287,-0.100646) (0,0); (-0.0324699,-0.0989146) (0,0); (-0.0361326,-0.0975413) (0,0)
(0.379158,-0.293167) (0,0); (0.390205,-0.279009) (0,0); (0.404244,-0.260727) (0,0); (0.414717,-0.246863) (0,0)
(0.4202,-0.239536) (0,0); (0.430303,-0.225892) (0,0); (0.443129,-0.208331) (0,0); (0.452688,-0.195055) (0,0)
(0.457689,-0.188052) (0,0); (0.466895,-0.175041) (0,0); (0.478568,-0.158344) (0,0); (0.487255,-0.14576) (0,0)
(0.491795,-0.139136) (0,0); (0.500143,-0.126854) (0,0); (0.510708,-0.11114) (0,0); (0.518555,-0.0993337) (0,0)
(0.522649,-0.0931317) (0,0); (0.530167,-0.0816565) (0,0); (0.539657,-0.0670212) (0,0); (0.546686,-0.056062) (0,0)
(0.550346,-0.0503173) (0,0); (0.557053,-0.0397127) (0,0); (0.565491,-0.0262347) (0,0); (0.571718,-0.0161788) (0,0)
(0.574953,-0.0109211) (0,0); (0.580864,-0.0012403) (0,0); (0.58827,0.0110113) (0,0); (0.593712,0.020111) (0,0)
(0.596531,0.0248482) (0,0); (0.601662,0.0335528) (0,0); (0.608069,0.0444732) (0,0); (0.612759,0.0525085) (0,0)
(0.615201,0.0566089) (0,0); (0.619608,0.0642767) (0,0); (0.625071,0.0739746) (0,0); (0.629038,0.0811728) (0,0)
(0.63108,0.0849069) (0,0); (0.634769,0.0917464) (0,0); (0.639313,0.100316) (0,0); (0.642588,0.106612) (0,0)
(0.644262,0.109869) (0,0); (0.647267,0.115798) (0,0); (0.650925,0.123174) (0,0); (0.653529,0.12855) (0,0)
(0.654847,0.131317) (0,0); (0.657188,0.136324) (0,0); (0.659989,0.142495) (0,0); (0.661941,0.146948) (0,0)
(0.662914,0.149223) (0,0); (0.664613,0.153307) (0,0); (0.666584,0.158275) (0,0); (0.667907,0.161806) (0,0)
(0.668547,0.16359) (0,0); (0.669625,0.166753) (0,0); (0.670795,0.17052) (0,0); (0.671511,0.17313) (0,0)
(0.67183,0.174423) (0,0); (0.672309,0.176666) (0,0); (0.672707,0.179231) (0,0); (0.672837,0.180921) (0,0)
(0.672846,0.181723) (0,0); (0.672748,0.183043) (0,0); (0.6724,0.184404) (0,0); (0.671965,0.185168) (0,0)
(0.671675,0.185476) (0,0); (0.671019,0.185869) (0,0); (0.669951,0.186015) (0,0); (0.668969,0.185847) (0,0)
